cut off: adjusted p-value<0.05 und absolute log2FC>1						
Gene ID	Average read counts per gene across all replicates	log2(FC)	P-value	P-adj	Gene symbol	Gene name
ENSG00000010818	369.5514554	1.071896796	9.12E-06	0.000191068	HIVEP2	HIVEP zinc finger 2
ENSG00000170381	85.56491087	1.068674942	9.76E-06	0.000202643	SEMA3E	semaphorin 3E
ENSG00000069020	48.09150116	1.472778542	9.82E-06	0.000203476	MAST4	microtubule associated serine/threonine kinase family member 4
ENSG00000144331	288.7610172	1.141679079	9.97E-06	0.000206409	ZNF385B	zinc finger protein 385B
ENSG00000124107	39.45812884	1.318032716	1.05E-05	0.000216337	SLPI	secretory leukocyte peptidase inhibitor
ENSG00000147041	163.381886	1.623674745	1.07E-05	0.00021973	SYTL5	synaptotagmin like 5
ENSG00000112769	729.1185755	1.486643932	1.07E-05	0.000219969	LAMA4	laminin subunit alpha 4
ENSG00000188549	199.7346577	1.668896251	1.10E-05	0.00022528	C15orf52	coiled-coil domain containing 9B
ENSG00000156427	28.42755951	-1.402790106	1.20E-05	0.000243486	FGF18	fibroblast growth factor 18
ENSG00000007237	80.2780069	-1.032851699	1.22E-05	0.000246538	GAS7	growth arrest specific 7
ENSG00000164951	17975.14002	-1.32100275	1.29E-05	0.000259202	PDP1	pyruvate dehyrogenase phosphatase catalytic subunit 1
ENSG00000137767	352.74509	1.083464486	1.28E-05	0.000259202	SQRDL	sulfide quinone oxidoreductase
ENSG00000253552	16.01607245	1.581531986	1.29E-05	0.000259713	HOXA-AS2	HOXA cluster antisense RNA 2
ENSG00000104814	30.29370786	-1.347071493	1.55E-05	0.000304591	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1
ENSG00000074527	266.2731619	1.636050603	1.68E-05	0.000327789	NTN4	netrin 4
ENSG00000135406	50.5451318	-1.186580394	1.74E-05	0.000338262	PRPH	peripherin
ENSG00000248538	14.9171784	1.570599563	1.81E-05	0.000352359	RP11-10A14.5	
ENSG00000144649	53.68388653	1.356787838	1.91E-05	0.000368621	FAM198A	golgi associated kinase 1A
ENSG00000164136	47.01053	1.285248267	1.95E-05	0.000376255	IL15	interleukin 15
ENSG00000261123	55.79060793	-1.293141709	2.00E-05	0.000384286	RP11-304L19.3	
ENSG00000157510	338.9639347	1.130273485	2.07E-05	0.000395469	AFAP1L1	actin filament associated protein 1 like 1
ENSG00000253111	7.517281352	-1.618483376	2.07E-05	0.000395469	RP11-136O12.2	
ENSG00000196562	366.7629489	1.084610835	2.12E-05	0.000404363	SULF2	sulfatase 2
ENSG00000101333	253.4699816	1.003543069	2.31E-05	0.00043515	PLCB4	phospholipase C beta 4
ENSG00000087085	50.88815623	1.234193605	2.32E-05	0.00043625	ACHE	acetylcholinesterase (Cartwright blood group)
ENSG00000184384	43.67987972	1.377058725	2.41E-05	0.000447135	MAML2	mastermind like transcriptional coactivator 2
ENSG00000251893	29.68068295	-1.376792137	2.54E-05	0.000470018	SNORA70	small nucleolar RNA, H/ACA box 70
ENSG00000150347	249.2515563	-1.157929517	2.55E-05	0.000470169	ARID5B	AT-rich interaction domain 5B
ENSG00000123104	167.131814	1.071816458	2.55E-05	0.000470169	ITPR2	inositol 1,4,5-trisphosphate receptor type 2
ENSG00000169231	49.87719124	1.152482752	2.71E-05	0.000498463	THBS3	thrombospondin 3
ENSG00000182870	21.60854156	1.591515048	2.83E-05	0.000518238	GALNT9	polypeptide N-acetylgalactosaminyltransferase 9
ENSG00000108176	69.26595929	-1.299108183	2.86E-05	0.000521751	DNAJC12	DnaJ heat shock protein family (Hsp40) member C12
ENSG00000189283	165.4574905	1.043171393	2.88E-05	0.000525711	FHIT	fragile histidine triad diadenosine triphosphatase
ENSG00000272482	8.870057812	1.585616559	3.00E-05	0.000544716	RP11-474O21.5	
ENSG00000162591	573.8543	1.541039479	3.03E-05	0.000546652	MEGF6	multiple EGF like domains 6
ENSG00000111087	47.93099237	-1.108349832	3.03E-05	0.000546652	GLI1	GLI family zinc finger 1
ENSG00000197183	71.45637824	1.117095147	3.10E-05	0.000559954	NOL4L	nucleolar protein 4 like
ENSG00000223551	25.11168612	1.479758975	3.19E-05	0.000572012	TMSB4XP4	TMSB4X pseudogene 4
ENSG00000251095	138.0602596	-1.064125725	3.21E-05	0.000574493	RP11-115D19.1	
ENSG00000178826	41.85960262	-1.331824905	3.30E-05	0.000589869	TMEM139	transmembrane protein 139
ENSG00000119917	75.99952538	1.282970348	3.83E-05	0.00067113	IFIT3	interferon induced protein with tetratricopeptide repeats 3
ENSG00000104432	14.73774961	1.555467647	4.08E-05	0.000709311	IL7	interleukin 7
ENSG00000146592	19.59597738	1.543462618	4.16E-05	0.000720204	CREB5	cAMP responsive element binding protein 5
ENSG00000184254	6686.735744	1.551179599	4.16E-05	0.000720204	ALDH1A3	aldehyde dehydrogenase 1 family member A3
ENSG00000213976	20.37343074	-1.317029843	4.17E-05	0.000720524	CTD-2561J22.2	
ENSG00000256916	7.017992929	-1.555519203	4.27E-05	0.000737065	RP11-817J15.2	
ENSG00000245164	15.93244476	-1.553462903	4.38E-05	0.000754003	LINC00861	long intergenic non-protein coding RNA 861
ENSG00000214796	63.51755375	-1.26359332	4.53E-05	0.000775589	RP11-480I12.5	tubulin alpha 5, pseudogene
ENSG00000084628	26.02183453	-1.280477555	5.02E-05	0.000848692	NKAIN1	sodium/potassium transporting ATPase interacting 1
ENSG00000230500	5.44359766	-1.517418071	5.08E-05	0.000857413	MKX-AS1	MKX antisense RNA 1
ENSG00000198074	48.14005813	1.127466918	5.35E-05	0.000898501	AKR1B10	aldo-keto reductase family 1 member B10
ENSG00000116833	82.50979269	1.036293367	5.36E-05	0.000899657	NR5A2	nuclear receptor subfamily 5 group A member 2
ENSG00000188037	43.83441726	1.045103088	5.37E-05	0.000899821	CLCN1	chloride voltage-gated channel 1
ENSG00000138622	47.1637758	-1.156280523	6.00E-05	0.000993225	HCN4	hyperpolarization activated cyclic nucleotide gated potassium channel 4
ENSG00000196542	55.24157688	-1.36410694	6.22E-05	0.001020649	SPTSSB	serine palmitoyltransferase small subunit B
ENSG00000248424	23.13054904	1.312210364	6.25E-05	0.001023825	OR51K1P	olfactory receptor family 51 subfamily K member 1 pseudogene
ENSG00000164056	70.29170149	1.057075861	6.38E-05	0.001039107	SPRY1	sprouty RTK signaling antagonist 1
ENSG00000144481	9.86792256	1.512820818	6.55E-05	0.001061218	TRPM8	transient receptor potential cation channel subfamily M member 8
ENSG00000254109	17.51691363	1.387522546	6.60E-05	0.001065492	RBPMS-AS1	RBPMS antisense RNA 1
ENSG00000165091	11.74307668	1.511112114	6.60E-05	0.001065492	TMC1	transmembrane channel like 1
ENSG00000169031	57.29172594	1.096772102	7.80E-05	0.001220844	COL4A3	collagen type IV alpha 3 chain
ENSG00000235269	59.94600308	-1.481522303	7.82E-05	0.00122334	AL162759.1	
ENSG00000173237	86.44906336	1.413080856	8.62E-05	0.001333324	C11orf86	chromosome 11 open reading frame 86
ENSG00000267476	7.175156418	1.463374931	8.70E-05	0.00134509	RP11-126O1.4	
ENSG00000185630	393.1261755	-1.472661851	9.21E-05	0.001411426	PBX1	PBX homeobox 1
ENSG00000135324	59.37082668	1.127335331	9.22E-05	0.001411989	MRAP2	melanocortin 2 receptor accessory protein 2
ENSG00000112139	72.26342133	-1.090288984	9.55E-05	0.001451561	MDGA1	MAM domain containing glycosylphosphatidylinositol anchor 1
ENSG00000264448	8.61075855	-1.475834797	0.000102128	0.001531127	MIR378D2	microRNA 378d-2
ENSG00000184845	10.76744932	-1.466552698	0.000102733	0.001537523	DRD1	dopamine receptor D1
ENSG00000021355	1620.111494	1.207473083	0.000102903	0.00153872	SERPINB1	serpin family B member 1
ENSG00000224596	5.727323491	1.456727512	0.000103177	0.001540412	ZMIZ1-AS1	ZMIZ1 antisense RNA 1
ENSG00000159640	44.76158802	1.135771699	0.000105911	0.001578225	ACE	angiotensin I converting enzyme
ENSG00000174899	16.65329808	-1.470993857	0.000108906	0.001615871	PQLC2L	solute carrier family 66 member 1 like
ENSG00000153294	13.47714333	1.449724747	0.000111145	0.001642036	ADGRF4	adhesion G protein-coupled receptor F4
ENSG00000172350	41.89916363	-1.163982741	0.000116522	0.001711211	ABCG4	ATP binding cassette subfamily G member 4
ENSG00000184988	32.34784119	1.121717784	0.000117511	0.001724261	TMEM106A	transmembrane protein 106A
ENSG00000185532	27.19338269	1.228551703	0.000120417	0.001759417	PRKG1	protein kinase cGMP-dependent 1
ENSG00000125740	55.51725117	-1.22684063	0.000127391	0.001847225	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit
ENSG00000165169	2275.857724	1.320934021	0.00012868	0.001861216	DYNLT3	dynein light chain Tctex-type 3
ENSG00000139174	71.62285826	1.123215938	0.000133441	0.001923622	PRICKLE1	prickle planar cell polarity protein 1
ENSG00000153233	11.56969114	1.446198255	0.000139677	0.001996826	PTPRR	protein tyrosine phosphatase receptor type R
ENSG00000100271	78.70215855	1.088505801	0.000144919	0.002056414	TTLL1	tubulin tyrosine ligase like 1
ENSG00000185215	2150.474838	1.249291508	0.000146025	0.002068712	TNFAIP2	TNF alpha induced protein 2
ENSG00000147036	197.8775688	1.019301928	0.000146966	0.002078618	LANCL3	LanC like 3
ENSG00000184669	13.39214853	1.431891349	0.000149333	0.002103999	OR7E14P	olfactory receptor family 7 subfamily E member 14 pseudogene
ENSG00000239474	8.458795345	1.440315371	0.000151467	0.002126576	KLHL41	kelch like family member 41
ENSG00000165376	14.55328806	-1.437722102	0.000155463	0.002172069	CLDN2	claudin 2
ENSG00000168918	45.87303815	-1.267639143	0.000162676	0.002256398	INPP5D	inositol polyphosphate-5-phosphatase D
ENSG00000035862	2431.431817	1.264705651	0.000172182	0.002361643	TIMP2	TIMP metallopeptidase inhibitor 2
ENSG00000105996	11.63445003	1.400315346	0.000177539	0.002427395	HOXA2	homeobox A2
ENSG00000120149	1003.023995	-1.334569152	0.000181427	0.002468808	MSX2	msh homeobox 2
ENSG00000235070	31.42762557	-1.379820668	0.000181798	0.002470026	AC068138.1	
ENSG00000170442	19.99302705	1.377341658	0.000181803	0.002470026	KRT86	keratin 86
ENSG00000134363	7.622729612	1.390410499	0.000194512	0.002619984	FST	follistatin
ENSG00000246640	15.83252863	1.401965486	0.000199001	0.002672106	RP11-1094H24.4	
ENSG00000221963	23.61512224	1.409306293	0.000201949	0.002705359	APOL6	apolipoprotein L6
ENSG00000164125	46.07340636	-1.073310619	0.000205212	0.002740553	FAM198B	golgi associated kinase 1B
ENSG00000120738	566.8762224	-1.308489803	0.000205946	0.002742806	EGR1	early growth response 1
ENSG00000029534	22.6514394	1.28834674	0.000208099	0.00276341	ANK1	ankyrin 1
ENSG00000135604	93.61678169	1.124239808	0.000210547	0.002788055	STX11	syntaxin 11
ENSG00000087128	8.771437374	1.371571316	0.000214194	0.002825492	TMPRSS11E	transmembrane serine protease 11E
ENSG00000108932	128.4911262	-1.010425318	0.00021483	0.002829552	SLC16A6	solute carrier family 16 member 6
ENSG00000197142	4272.592096	-1.208295618	0.000240627	0.003107605	ACSL5	acyl-CoA synthetase long chain family member 5
ENSG00000053918	71.32768387	1.184535495	0.000247453	0.003190978	KCNQ1	potassium voltage-gated channel subfamily Q member 1
ENSG00000089041	23.69877183	-1.180997087	0.000268097	0.00342897	P2RX7	purinergic receptor P2X 7
ENSG00000169252	31.41976527	1.371841845	0.00027469	0.003480191	ADRB2	adrenoceptor beta 2
ENSG00000171208	920.9630355	1.15906639	0.000277494	0.003510107	NETO2	neuropilin and tolloid like 2
ENSG00000164308	71.99624199	1.005513873	0.000285954	0.003593386	ERAP2	endoplasmic reticulum aminopeptidase 2
ENSG00000127415	90.20795273	1.080478361	0.000289234	0.003624049	IDUA	alpha-L-iduronidase
ENSG00000138131	36.67953305	1.358222364	0.000291448	0.003636064	LOXL4	lysyl oxidase like 4
ENSG00000053524	33.12019028	1.213576347	0.000298627	0.003706713	MCF2L2	MCF.2 cell line derived transforming sequence-like 2
ENSG00000175294	43.8050936	1.043175877	0.000308727	0.003810142	CATSPER1	cation channel sperm associated 1
ENSG00000257671	10.08707065	1.369798802	0.000312677	0.003846223	RP3-416H24.1	
ENSG00000187094	13.29057307	1.326156745	0.000313999	0.003858625	CCK	cholecystokinin
ENSG00000157021	38.95384894	-1.026561346	0.000318981	0.003908711	FAM92A1P1	CIBAR1 pseudogene 1
ENSG00000167767	930.8930633	1.365973894	0.000320564	0.003919745	KRT80	keratin 80
ENSG00000207973	13.89969612	-1.289773077	0.000326346	0.003969251	MIR589	microRNA 589
ENSG00000126259	8.327942612	-1.364715904	0.000329612	0.004000207	KIRREL2	kirre like nephrin family adhesion molecule 2
ENSG00000118785	80.29834049	1.031491039	0.000331211	0.004012938	SPP1	secreted phosphoprotein 1
ENSG00000181652	28.2997014	1.223555447	0.000333809	0.004038734	ATG9B	autophagy related 9B
ENSG00000167964	211.8601104	1.056819109	0.000340008	0.004105097	RAB26	RAB26, member RAS oncogene family
ENSG00000259347	23.53321035	1.163617204	0.000340586	0.004109195	RP11-798K3.2	
ENSG00000260428	24.21517721	1.184938377	0.000349037	0.004196473	SCX	scleraxis bHLH transcription factor
ENSG00000182557	35.85660102	1.113223083	0.000386409	0.004578751	SPNS3	sphingolipid transporter 3 (putative)
ENSG00000100055	58.98938222	1.132341353	0.000397601	0.00469202	CYTH4	cytohesin 4
ENSG00000188883	16.41308927	-1.337104913	0.000402771	0.004743288	KLRG2	killer cell lectin like receptor G2
ENSG00000172935	14.13745183	-1.313361778	0.000403785	0.004751986	MRGPRF	MAS related GPR family member F
ENSG00000171385	23.61731446	1.199684322	0.000406524	0.004777699	KCND3	potassium voltage-gated channel subfamily D member 3
ENSG00000227077	38.58416858	1.320726859	0.000408636	0.004793316	AC107983.4	
ENSG00000218980	25.27452611	1.214068345	0.000422564	0.004935927	FTH1P15	ferritin heavy chain 1 pseudogene 15
ENSG00000254827	25.60721025	1.103261498	0.000429217	0.004996218	SLC22A18AS	solute carrier family 22 member 18 antisense
ENSG00000081041	14.81857043	1.294092344	0.000441681	0.005121069	CXCL2	C-X-C motif chemokine ligand 2
ENSG00000137449	61.23609187	1.207580694	0.000445003	0.005152653	CPEB2	cytoplasmic polyadenylation element binding protein 2
ENSG00000272933	38.27941311	1.149896677	0.000446728	0.005169148	RP11-47A8.5	
ENSG00000187013	9.17162359	-1.32928153	0.000451655	0.005215662	C17orf82	long intergenic non-protein coding RNA 2875
ENSG00000184588	1749.196068	-1.266938949	0.00045416	0.005241076	PDE4B	phosphodiesterase 4B
ENSG00000245522	47.29979863	-1.025975204	0.000468828	0.005395901	RP11-540A21.2	
ENSG00000160219	8.106688596	1.318687421	0.00048908	0.005580564	GAB3	GRB2 associated binding protein 3
ENSG00000105991	83.18603901	1.005463513	0.000498442	0.005649995	HOXA1	homeobox A1
ENSG00000123612	34.6465556	1.024463759	0.000499928	0.005663119	ACVR1C	activin A receptor type 1C
ENSG00000100583	27.94540497	-1.072209962	0.000514725	0.00580404	SAMD15	sterile alpha motif domain containing 15
ENSG00000152380	35.43387429	1.032276765	0.000523687	0.005882011	FAM151B	family with sequence similarity 151 member B
ENSG00000060566	14.34417333	-1.221357025	0.000558141	0.006192349	CREB3L3	cAMP responsive element binding protein 3 like 3
ENSG00000111319	2181.415183	1.107154557	0.00056703	0.006270794	SCNN1A	sodium channel epithelial 1 subunit alpha
ENSG00000226510	18.29112724	-1.187445431	0.000569589	0.006291018	UPK1A-AS1	UPK1A antisense RNA 1
ENSG00000151474	31.92989328	1.048136842	0.00057036	0.006295503	FRMD4A	FERM domain containing 4A
ENSG00000102908	1027.943588	-1.162361128	0.000588262	0.006468254	NFAT5	nuclear factor of activated T cells 5
ENSG00000117472	419.3780218	1.305329141	0.00059557	0.006531953	TSPAN1	tetraspanin 1
ENSG00000163072	56.32037725	-1.110671671	0.000597067	0.006544204	NOSTRIN	nitric oxide synthase trafficking
ENSG00000144824	6291.853047	-1.204735398	0.000604149	0.006595697	PHLDB2	pleckstrin homology like domain family B member 2
ENSG00000226251	12.91975565	1.288655785	0.000605201	0.006599332	RP11-15I11.3	
ENSG00000173227	130.2419494	1.298970935	0.000624251	0.006756257	SYT12	synaptotagmin 12
ENSG00000197128	15.74047958	1.268027016	0.000658575	0.007040387	ZNF772	zinc finger protein 772
ENSG00000099984	14.43352575	-1.216400559	0.000671901	0.007141951	GSTT2	glutathione S-transferase theta 2 (gene/pseudogene)
ENSG00000143001	11.70931357	1.248401326	0.000698346	0.00738209	TMEM61	transmembrane protein 61
ENSG00000280099	37.89927559	1.042735266	0.000712783	0.007511667	RP11-33E12.2	
ENSG00000108759	11.80722581	-1.279424848	0.000727314	0.007636793	KRT32	keratin 32
ENSG00000276851	9.815026263	1.276993302	0.000754844	0.007887433	RP5-875H18.9	
ENSG00000175093	11.72538592	-1.267927595	0.000768644	0.0079977	SPSB4	splA/ryanodine receptor domain and SOCS box containing 4
ENSG00000119715	32.67852518	1.035657217	0.000790928	0.008190024	ESRRB	estrogen related receptor beta
ENSG00000271156	6.718548412	1.270089025	0.000806265	0.008284152	RP11-642C5.1	
ENSG00000197813	25.03225205	-1.11183204	0.000829669	0.008499303	CTC-301O7.4	
ENSG00000170006	169.3689399	1.2700962	0.00083416	0.00854023	TMEM154	transmembrane protein 154
ENSG00000267505	10.46937328	1.260404259	0.00085924	0.008741739	CTC-296K1.3	
ENSG00000137699	19.6470848	-1.212995403	0.000874798	0.008853792	TRIM29	tripartite motif containing 29
ENSG00000153283	13.19754962	-1.250637573	0.000877643	0.008859159	CD96	CD96 molecule
ENSG00000146966	23.28797681	1.227404528	0.000918502	0.009160985	DENND2A	DENN domain containing 2A
ENSG00000164509	23.38225106	1.125022207	0.000925661	0.009223613	IL31RA	interleukin 31 receptor A
ENSG00000180638	8.40400263	1.258361704	0.000926053	0.009223613	SLC47A2	solute carrier family 47 member 2
ENSG00000198108	66.19777724	1.122740229	0.000933752	0.009273514	CHSY3	chondroitin sulfate synthase 3
ENSG00000105641	18.34356907	-1.217100677	0.00094471	0.009360772	SLC5A5	solute carrier family 5 member 5
ENSG00000176697	1787.016464	-1.137455871	0.000948217	0.009384734	BDNF	brain derived neurotrophic factor
ENSG00000261587	28.13340788	-1.024937903	0.000958261	0.009462419	TMEM249	transmembrane protein 249
ENSG00000229656	33.69021175	1.142761491	0.001009247	0.009909132	RP11-462L8.1	
ENSG00000224715	5.999686332	1.228482964	0.001013265	0.009937258	CITF22-49D8.1	
ENSG00000244230	7.043884907	-1.246971767	0.001033438	0.01010063	RN7SL151P	RNA, 7SL, cytoplasmic 151, pseudogene
ENSG00000125850	39.60149992	1.030456176	0.001038291	0.010130827	OVOL2	ovo like zinc finger 2
ENSG00000139445	8.16657608	-1.235587866	0.001040917	0.010150708	FOXN4	forkhead box N4
ENSG00000237452	26.65071114	-1.169371292	0.001045695	0.010191532	BHMG1	meiosis initiator
ENSG00000249867	6.989473469	1.239868414	0.001086582	0.010512771	RP11-115J23.1	
ENSG00000186115	12.04298394	-1.175015696	0.001124709	0.010802841	CYP4F2	cytochrome P450 family 4 subfamily F member 2
ENSG00000223361	23.63377794	1.145135054	0.001134734	0.010839073	FTH1P10	ferritin heavy chain 1 pseudogene 10
ENSG00000259583	86.3842842	1.059236806	0.001167802	0.011117652	RP11-66B24.4	
ENSG00000179715	17.97947611	1.160191366	0.001209955	0.011443134	PCED1B	PC-esterase domain containing 1B
ENSG00000261468	7.680211672	-1.2262608	0.001255434	0.011776356	RP11-1024P17.1	
ENSG00000152689	15.00175561	1.18087023	0.001320391	0.012278785	RASGRP3	RAS guanyl releasing protein 3
ENSG00000087076	26.78431897	1.150743895	0.001362249	0.012620762	HSD17B14	hydroxysteroid 17-beta dehydrogenase 14
ENSG00000137745	5.573049557	1.208744313	0.001374537	0.012713733	MMP13	matrix metallopeptidase 13
ENSG00000026652	985.8012681	1.15590268	0.001408292	0.012939502	AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4
ENSG00000171016	20.06459529	-1.04839112	0.001422303	0.013050518	PYGO1	pygopus family PHD finger 1
ENSG00000136167	47.38386735	1.070952018	0.001437736	0.013171098	LCP1	lymphocyte cytosolic protein 1
ENSG00000212993	8.035159557	-1.20124695	0.001458656	0.013313224	POU5F1B	POU class 5 homeobox 1B
ENSG00000089486	55.55174179	-1.042687008	0.001472125	0.013416045	CDIP1	cell death inducing p53 target 1
ENSG00000075426	1436.787077	-1.011092859	0.00149537	0.013589816	FOSL2	FOS like 2, AP-1 transcription factor subunit
ENSG00000176040	11.28900654	-1.201327598	0.001496054	0.013589816	TMPRSS7	transmembrane serine protease 7
ENSG00000137965	8.732452065	1.201032205	0.001537737	0.013858929	IFI44	interferon induced protein 44
ENSG00000144130	9.923556088	1.194548543	0.001615342	0.014363128	NT5DC4	5'-nucleotidase domain containing 4
ENSG00000279384	24.78109853	-1.058276713	0.001689728	0.014901586	RP11-635L1.2	
ENSG00000104903	6.76972196	1.064371862	0.001799708	0.01568694	LYL1	LYL1 basic helix-loop-helix family member
ENSG00000119866	19.29360931	1.18469733	0.001830772	0.015893421	BCL11A	BAF chromatin remodeling complex subunit BCL11A
ENSG00000261286	10.4129417	1.165247995	0.00184967	0.016046965	RP11-517C16.2	ATP2C2 antisense RNA 1
ENSG00000139988	15.96193632	1.150819915	0.001880782	0.016245773	RDH12	retinol dehydrogenase 12
ENSG00000172264	22.95587275	1.074827385	0.001895489	0.016356421	MACROD2	mono-ADP ribosylhydrolase 2
ENSG00000227036	366.7005714	1.076043117	0.001924221	0.016571172	LINC00511	long intergenic non-protein coding RNA 511
ENSG00000107159	14.97534451	-1.175474822	0.001949124	0.016752166	CA9	carbonic anhydrase 9
ENSG00000104490	16.81395897	1.098379416	0.001958239	0.016796671	NCALD	neurocalcin delta
ENSG00000230204	22.61952084	1.098540852	0.001989329	0.017012907	FTH1P5	ferritin heavy chain 1 pseudogene 5
ENSG00000153292	1406.208134	1.172822596	0.002010297	0.017132743	ADGRF1	adhesion G protein-coupled receptor F1
ENSG00000176641	17.34321597	1.038560472	0.002112865	0.017821876	RNF152	ring finger protein 152
ENSG00000171487	7.055829773	-1.145950239	0.002129578	0.017927761	NLRP5	NLR family pyrin domain containing 5
ENSG00000127325	11.11798738	1.117778759	0.002131801	0.017928968	BEST3	bestrophin 3
ENSG00000250548	20.82563645	-1.034509124	0.002169069	0.018171489	RP11-47I22.2	
ENSG00000224621	8.711319297	1.151465421	0.002172329	0.01818996	RP11-276H7.3	
ENSG00000227959	14.04714341	1.065481267	0.002208409	0.018456215	RP11-276H7.2	
ENSG00000258366	22.51587342	-1.021821549	0.002217342	0.018503962	RTEL1	regulator of telomere elongation helicase 1
ENSG00000128342	656.2532218	1.113151465	0.002265061	0.018814149	LIF	LIF interleukin 6 family cytokine
ENSG00000197020	53.41024371	-1.006750535	0.002342167	0.019330448	ZNF100	zinc finger protein 100
ENSG00000205129	20.84219026	-1.113315039	0.002435577	0.019907557	C4orf47	chromosome 4 open reading frame 47
ENSG00000198133	25.66900933	1.068670401	0.002447574	0.019977325	TMEM229B	transmembrane protein 229B
ENSG00000148346	72.27033617	1.062387873	0.00253098	0.020457867	LCN2	lipocalin 2
ENSG00000171951	182.8990086	-1.091981827	0.002564238	0.020658893	SCG2	secretogranin II
ENSG00000128510	1464.244403	-1.118718594	0.002592937	0.020821993	CPA4	carboxypeptidase A4
ENSG00000224189	14.17611797	-1.139038322	0.002698548	0.021403936	HAGLR	HOXD antisense growth-associated long non-coding RNA
ENSG00000168481	23.62619129	-1.122346602	0.002698687	0.021403936	LGI3	leucine rich repeat LGI family member 3
ENSG00000134198	11.85969771	-1.132887778	0.002873878	0.022547634	TSPAN2	tetraspanin 2
ENSG00000145536	19.61649889	1.006668824	0.002898367	0.022672755	ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16
ENSG00000111801	52.24565332	1.071768257	0.002911384	0.022761806	BTN3A3	butyrophilin subfamily 3 member A3
ENSG00000224897	7.541836482	1.12811534	0.003002054	0.023272672	POT1-AS1	POT1 antisense RNA 1
ENSG00000135625	8.736434848	-1.125365056	0.003073442	0.02369822	EGR4	early growth response 4
ENSG00000277778	19.6142895	1.095744373	0.003081837	0.023720517	PGM5P2	phosphoglucomutase 5 pseudogene 2
ENSG00000129538	29.76101002	1.032460554	0.003204839	0.024503161	RNASE1	ribonuclease A family member 1, pancreatic
ENSG00000165887	29.89955273	1.112965731	0.003250361	0.024785262	ANKRD2	ankyrin repeat domain 2
ENSG00000100302	56.09764194	-1.029657378	0.003377573	0.025540672	RASD2	RASD family member 2
ENSG00000136155	7.976218635	1.114134663	0.003381614	0.025560019	SCEL	sciellin
ENSG00000114547	13.56775916	1.063315021	0.003425798	0.025837353	ROPN1B	rhophilin associated tail protein 1B
ENSG00000231171	28.34826566	1.008321227	0.003460194	0.026017099	LINC01098	long intergenic non-protein coding RNA 1098
ENSG00000149043	9.306239602	1.109223324	0.003525138	0.026384656	SYT8	synaptotagmin 8
ENSG00000123977	6.342509015	1.10723476	0.003545771	0.026521755	DAW1	dynein assembly factor with WD repeats 1
ENSG00000275322	8.31163579	-1.096842373	0.003572884	0.026707137	RP11-262A16.1	
ENSG00000158560	5.85247398	1.079270223	0.003650027	0.027066715	DYNC1I1	dynein cytoplasmic 1 intermediate chain 1
ENSG00000214279	26.84306557	1.024892471	0.0037741	0.027799844	SCART1	scavenger receptor family member expressed on T cells 1
ENSG00000130600	64.98394697	-1.092976663	0.003789234	0.027871238	H19	H19 imprinted maternally expressed transcript
ENSG00000144596	9.929567065	-1.08703589	0.004182912	0.030174721	GRIP2	glutamate receptor interacting protein 2
ENSG00000156265	5.109303899	1.047379841	0.004412875	0.031545796	MAP3K7CL	MAP3K7 C-terminal like
ENSG00000227954	8.243813276	1.077867346	0.004578546	0.03249844	TARID	TCF21 antisense RNA inducing promoter demethylation
ENSG00000136689	19.1597493	1.053767121	0.004670037	0.032963612	IL1RN	interleukin 1 receptor antagonist
ENSG00000269843	6.792812948	1.074075145	0.004675765	0.032967293	CTC-490E21.10	
ENSG00000164484	1420.913617	-1.028246732	0.004697889	0.033086722	TMEM200A	transmembrane protein 200A
ENSG00000271781	21.62297291	1.011750904	0.004767886	0.033483962	CTD-2589H19.6	
ENSG00000019582	6.741902255	-1.059915457	0.004783795	0.033541039	CD74	CD74 molecule
ENSG00000255150	40.03714669	1.040993115	0.004859155	0.033945172	EID3	EP300 interacting inhibitor of differentiation 3
ENSG00000084710	118.3478059	1.061813965	0.005050903	0.034972938	EFR3B	EFR3 homolog B
ENSG00000170965	14.37446068	-1.02969379	0.005101238	0.035256968	PLAC1	placenta enriched 1
ENSG00000135374	10.77132836	-1.049626742	0.005128514	0.035368282	ELF5	E74 like ETS transcription factor 5
ENSG00000153923	5.636417052	1.047024076	0.005211437	0.035825515	CLCA3P	chloride channel accessory 3, pseudogene
ENSG00000232453	6.192842652	1.060307401	0.005286038	0.03625162	RP4-794H19.1	
ENSG00000014257	5.984281924	1.040773216	0.005284656	0.03625162	ACPP	acid phosphatase 3
ENSG00000272622	8.972552682	-1.051529198	0.005292423	0.036266563	RP11-395N3.2	
ENSG00000196954	678.1939265	1.00206185	0.005426079	0.036947483	CASP4	caspase 4
ENSG00000225655	7.073095523	1.0548317	0.005507451	0.03732467	PGM5-AS1	PGM5 antisense RNA 1
ENSG00000137834	185.9008467	1.05395806	0.005560434	0.037565611	SMAD6	SMAD family member 6
ENSG00000248245	6.029644362	-1.044148543	0.005673355	0.038134239	CTB-49A3.2	
ENSG00000237166	11.30819848	1.013349022	0.005721423	0.038397451	AC007163.3	
ENSG00000240520	5.431224166	-1.024005363	0.005835281	0.039012292	UOX	urate oxidase (pseudogene)
